datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-01 11:05:00,97.0,NFO,15-JUN-2023,97.1,95.7,95.7,148000,Options,Call,NIFTY,18700.0,650.0
2023-06-01 11:06:00,97.2,NFO,15-JUN-2023,97.2,96.2,97.0,148000,Options,Call,NIFTY,18700.0,300.0
2023-06-01 11:07:00,97.2,NFO,15-JUN-2023,97.2,97.2,97.2,148000,Options,Call,NIFTY,18700.0,0.0
2023-06-01 11:08:00,95.95,NFO,15-JUN-2023,97.2,95.85,97.2,148000,Options,Call,NIFTY,18700.0,550.0
2023-06-01 11:09:00,97.0,NFO,15-JUN-2023,97.35,95.95,95.95,147950,Options,Call,NIFTY,18700.0,150.0
2023-06-01 11:10:00,97.55,NFO,15-JUN-2023,97.55,97.0,97.0,147950,Options,Call,NIFTY,18700.0,200.0
2023-06-01 11:11:00,98.6,NFO,15-JUN-2023,98.6,97.55,97.55,147950,Options,Call,NIFTY,18700.0,200.0
2023-06-01 11:12:00,99.35,NFO,15-JUN-2023,99.65,98.6,98.6,147900,Options,Call,NIFTY,18700.0,500.0
2023-06-01 11:13:00,99.25,NFO,15-JUN-2023,99.25,99.15,99.15,147900,Options,Call,NIFTY,18700.0,350.0
2023-06-01 11:14:00,99.8,NFO,15-JUN-2023,100.1,98.95,99.25,148850,Options,Call,NIFTY,18700.0,1500.0
2023-06-01 11:15:00,99.85,NFO,15-JUN-2023,100.2,99.25,99.8,148850,Options,Call,NIFTY,18700.0,2150.0
2023-06-01 11:16:00,100.4,NFO,15-JUN-2023,100.55,99.85,99.85,148850,Options,Call,NIFTY,18700.0,2850.0
2023-06-01 11:17:00,99.45,NFO,15-JUN-2023,100.4,99.45,100.4,148850,Options,Call,NIFTY,18700.0,450.0
2023-06-01 11:18:00,100.8,NFO,15-JUN-2023,101.0,99.45,99.45,147550,Options,Call,NIFTY,18700.0,100.0
2023-06-01 11:19:00,101.0,NFO,15-JUN-2023,101.0,100.8,100.8,147550,Options,Call,NIFTY,18700.0,2500.0
2023-06-01 11:20:00,101.0,NFO,15-JUN-2023,101.55,101.0,101.0,147550,Options,Call,NIFTY,18700.0,650.0
2023-06-01 11:21:00,99.15,NFO,15-JUN-2023,101.0,99.15,101.0,147150,Options,Call,NIFTY,18700.0,1350.0
2023-06-01 11:22:00,99.15,NFO,15-JUN-2023,99.15,99.15,99.15,147150,Options,Call,NIFTY,18700.0,0.0
2023-06-01 11:23:00,100.05,NFO,15-JUN-2023,100.9,99.15,99.15,147150,Options,Call,NIFTY,18700.0,700.0
2023-06-01 11:24:00,100.9,NFO,15-JUN-2023,100.9,100.05,100.05,147500,Options,Call,NIFTY,18700.0,1050.0
2023-06-01 11:25:00,101.0,NFO,15-JUN-2023,101.45,100.9,100.9,147500,Options,Call,NIFTY,18700.0,100.0
2023-06-01 11:26:00,98.65,NFO,15-JUN-2023,101.0,98.6,101.0,147500,Options,Call,NIFTY,18700.0,200.0
2023-06-01 11:27:00,98.0,NFO,15-JUN-2023,98.65,98.0,98.65,148500,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:28:00,97.3,NFO,15-JUN-2023,98.0,97.3,98.0,148500,Options,Call,NIFTY,18700.0,300.0
2023-06-01 11:29:00,97.3,NFO,15-JUN-2023,97.3,97.3,97.3,148500,Options,Call,NIFTY,18700.0,0.0
2023-06-01 11:30:00,96.0,NFO,15-JUN-2023,97.3,96.0,97.3,148450,Options,Call,NIFTY,18700.0,2200.0
2023-06-01 11:31:00,95.75,NFO,15-JUN-2023,95.75,95.0,95.55,148450,Options,Call,NIFTY,18700.0,950.0
2023-06-01 11:32:00,96.15,NFO,15-JUN-2023,96.7,95.0,95.75,148450,Options,Call,NIFTY,18700.0,250.0
