,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
195,91.1,2023-07-26 12:30:00,NFO,10-AUG-2023,91.1,91.1,91.1,34150,Options,Put,NIFTY,19650.0,0
196,92.05,2023-07-26 12:31:00,NFO,10-AUG-2023,92.05,91.1,91.1,43350,Options,Put,NIFTY,19650.0,350
197,92.05,2023-07-26 12:32:00,NFO,10-AUG-2023,92.05,92.05,92.05,43350,Options,Put,NIFTY,19650.0,0
198,93.45,2023-07-26 12:33:00,NFO,10-AUG-2023,93.45,92.05,92.05,43450,Options,Put,NIFTY,19650.0,1200
199,93.45,2023-07-26 12:34:00,NFO,10-AUG-2023,93.45,93.45,93.45,43450,Options,Put,NIFTY,19650.0,0
200,93.45,2023-07-26 12:35:00,NFO,10-AUG-2023,93.45,93.45,93.45,43450,Options,Put,NIFTY,19650.0,0
201,94.0,2023-07-26 12:36:00,NFO,10-AUG-2023,94.0,93.45,93.45,43450,Options,Put,NIFTY,19650.0,150
202,94.0,2023-07-26 12:37:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,1150
203,94.0,2023-07-26 12:38:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,0
204,94.0,2023-07-26 12:39:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,0
205,94.0,2023-07-26 12:40:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,0
206,94.0,2023-07-26 12:41:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,0
207,94.0,2023-07-26 12:42:00,NFO,10-AUG-2023,94.0,94.0,94.0,43450,Options,Put,NIFTY,19650.0,0
