,close,datetime,exchange_code,high,low,open,stock_code,volume
154,574.8,2024-04-19 11:49:00,NSE,574.95,574.0,574.0,ASAIND,155
155,575.1,2024-04-19 11:50:00,NSE,575.1,573.6,574.8,ASAIND,16
156,575.45,2024-04-19 11:51:00,NSE,575.55,575.1,575.1,ASAIND,64
157,575.65,2024-04-19 11:52:00,NSE,575.65,574.3,574.3,ASAIND,709
158,575.85,2024-04-19 11:53:00,NSE,575.9,575.3,575.65,ASAIND,4
159,576.3,2024-04-19 11:54:00,NSE,576.75,575.85,575.85,ASAIND,422
160,576.25,2024-04-19 11:55:00,NSE,576.25,576.25,576.25,ASAIND,159
161,577.3,2024-04-19 11:56:00,NSE,577.3,576.25,576.25,ASAIND,102
162,576.5,2024-04-19 11:57:00,NSE,577.3,575.55,577.3,ASAIND,632
163,577.95,2024-04-19 11:58:00,NSE,577.95,576.5,576.5,ASAIND,521
164,578.35,2024-04-19 11:59:00,NSE,578.95,577.95,577.95,ASAIND,1764
165,578.35,2024-04-19 12:00:00,NSE,579.0,578.35,578.35,ASAIND,904
166,578.8,2024-04-19 12:01:00,NSE,578.8,578.35,578.35,ASAIND,68
167,578.8,2024-04-19 12:02:00,NSE,578.8,578.8,578.8,ASAIND,0
168,578.4,2024-04-19 12:03:00,NSE,578.85,578.4,578.8,ASAIND,22
169,578.35,2024-04-19 12:04:00,NSE,578.9,578.35,578.4,ASAIND,149
170,578.3,2024-04-19 12:05:00,NSE,578.35,578.3,578.35,ASAIND,88
171,578.5,2024-04-19 12:06:00,NSE,578.5,578.1,578.3,ASAIND,3
172,578.5,2024-04-19 12:07:00,NSE,578.5,578.5,578.5,ASAIND,0
173,578.3,2024-04-19 12:08:00,NSE,578.5,578.3,578.5,ASAIND,1
174,577.25,2024-04-19 12:09:00,NSE,578.3,577.25,578.3,ASAIND,8
175,577.8,2024-04-19 12:10:00,NSE,577.8,576.2,576.95,ASAIND,137
176,579.0,2024-04-19 12:11:00,NSE,579.0,577.8,577.8,ASAIND,1
177,578.5,2024-04-19 12:12:00,NSE,579.0,578.5,579.0,ASAIND,283
178,578.85,2024-04-19 12:13:00,NSE,578.85,578.5,578.5,ASAIND,14
179,577.6,2024-04-19 12:14:00,NSE,578.85,577.6,578.85,ASAIND,64
180,578.4,2024-04-19 12:15:00,NSE,578.4,577.6,577.6,ASAIND,1
181,578.25,2024-04-19 12:16:00,NSE,578.4,578.25,578.4,ASAIND,1
182,577.65,2024-04-19 12:17:00,NSE,578.25,577.65,578.25,ASAIND,3
183,578.3,2024-04-19 12:18:00,NSE,578.3,577.65,577.65,ASAIND,1
184,578.3,2024-04-19 12:19:00,NSE,578.3,578.3,578.3,ASAIND,5
185,578.25,2024-04-19 12:20:00,NSE,578.3,578.25,578.3,ASAIND,1
186,578.25,2024-04-19 12:21:00,NSE,578.25,578.25,578.25,ASAIND,1
187,578.25,2024-04-19 12:22:00,NSE,578.25,578.25,578.25,ASAIND,0
188,578.25,2024-04-19 12:23:00,NSE,578.25,578.25,578.25,ASAIND,1
189,578.25,2024-04-19 12:24:00,NSE,578.25,578.25,578.25,ASAIND,0
190,578.3,2024-04-19 12:25:00,NSE,578.3,578.25,578.25,ASAIND,1
191,578.3,2024-04-19 12:26:00,NSE,578.3,578.3,578.3,ASAIND,1
192,577.75,2024-04-19 12:27:00,NSE,578.3,577.75,578.3,ASAIND,25
193,577.95,2024-04-19 12:28:00,NSE,578.25,577.5,577.75,ASAIND,5
194,576.1,2024-04-19 12:29:00,NSE,577.2,576.1,577.2,ASAIND,204
195,577.45,2024-04-19 12:30:00,NSE,577.45,576.1,576.1,ASAIND,54
