close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
95.75,2023-11-24 11:56:00,NFO,2023-12-14,95.75,95.25,95.25,91750,Options,Put,NIFTY,19700.0,50
95.75,2023-11-24 11:57:00,NFO,2023-12-14,95.75,95.75,95.75,91750,Options,Put,NIFTY,19700.0,0
95.75,2023-11-24 11:58:00,NFO,2023-12-14,95.75,95.75,95.75,91750,Options,Put,NIFTY,19700.0,0
94.35,2023-11-24 11:59:00,NFO,2023-12-14,95.75,94.35,95.75,91950,Options,Put,NIFTY,19700.0,250
94.35,2023-11-24 12:00:00,NFO,2023-12-14,94.35,94.35,94.35,91950,Options,Put,NIFTY,19700.0,0
94.35,2023-11-24 12:01:00,NFO,2023-12-14,94.35,94.35,94.35,91950,Options,Put,NIFTY,19700.0,0
94.35,2023-11-24 12:02:00,NFO,2023-12-14,94.35,94.35,94.35,91950,Options,Put,NIFTY,19700.0,0
96.15,2023-11-24 12:03:00,NFO,2023-12-14,96.2,94.35,94.35,92100,Options,Put,NIFTY,19700.0,600
96.15,2023-11-24 12:04:00,NFO,2023-12-14,96.15,96.15,96.15,92100,Options,Put,NIFTY,19700.0,800
96.15,2023-11-24 12:05:00,NFO,2023-12-14,96.15,96.15,96.15,92100,Options,Put,NIFTY,19700.0,0
97.2,2023-11-24 12:06:00,NFO,2023-12-14,98.1,96.15,96.15,92700,Options,Put,NIFTY,19700.0,1350
97.2,2023-11-24 12:07:00,NFO,2023-12-14,97.2,97.2,97.2,92700,Options,Put,NIFTY,19700.0,0
97.2,2023-11-24 12:08:00,NFO,2023-12-14,97.2,97.2,97.2,92700,Options,Put,NIFTY,19700.0,0
96.0,2023-11-24 12:09:00,NFO,2023-12-14,97.2,96.0,97.2,92900,Options,Put,NIFTY,19700.0,1000
96.0,2023-11-24 12:10:00,NFO,2023-12-14,96.0,96.0,96.0,92900,Options,Put,NIFTY,19700.0,450
96.2,2023-11-24 12:11:00,NFO,2023-12-14,96.2,96.0,96.0,92900,Options,Put,NIFTY,19700.0,50
96.2,2023-11-24 12:12:00,NFO,2023-12-14,96.2,96.2,96.2,92900,Options,Put,NIFTY,19700.0,0
96.2,2023-11-24 12:13:00,NFO,2023-12-14,96.2,96.2,96.2,92900,Options,Put,NIFTY,19700.0,0
95.55,2023-11-24 12:14:00,NFO,2023-12-14,96.2,95.5,96.2,91550,Options,Put,NIFTY,19700.0,100
95.5,2023-11-24 12:15:00,NFO,2023-12-14,95.55,95.5,95.55,91550,Options,Put,NIFTY,19700.0,50
95.8,2023-11-24 12:16:00,NFO,2023-12-14,95.8,95.5,95.5,91550,Options,Put,NIFTY,19700.0,50
95.65,2023-11-24 12:17:00,NFO,2023-12-14,95.8,95.5,95.8,91550,Options,Put,NIFTY,19700.0,100
96.55,2023-11-24 12:18:00,NFO,2023-12-14,96.55,95.65,95.65,91450,Options,Put,NIFTY,19700.0,200
96.6,2023-11-24 12:19:00,NFO,2023-12-14,96.6,96.55,96.55,91450,Options,Put,NIFTY,19700.0,50
96.6,2023-11-24 12:20:00,NFO,2023-12-14,96.6,96.6,96.6,91450,Options,Put,NIFTY,19700.0,0
96.9,2023-11-24 12:21:00,NFO,2023-12-14,97.5,96.6,96.6,91300,Options,Put,NIFTY,19700.0,450
97.2,2023-11-24 12:22:00,NFO,2023-12-14,97.2,96.9,96.9,91300,Options,Put,NIFTY,19700.0,450
96.6,2023-11-24 12:23:00,NFO,2023-12-14,97.2,96.6,97.2,91300,Options,Put,NIFTY,19700.0,50
96.6,2023-11-24 12:24:00,NFO,2023-12-14,97.0,96.6,96.6,91200,Options,Put,NIFTY,19700.0,150
96.7,2023-11-24 12:25:00,NFO,2023-12-14,96.7,96.6,96.6,91200,Options,Put,NIFTY,19700.0,750
96.7,2023-11-24 12:26:00,NFO,2023-12-14,96.7,96.7,96.7,91200,Options,Put,NIFTY,19700.0,0
96.7,2023-11-24 12:27:00,NFO,2023-12-14,96.7,96.7,96.7,91200,Options,Put,NIFTY,19700.0,0
97.4,2023-11-24 12:28:00,NFO,2023-12-14,97.4,96.7,96.7,91800,Options,Put,NIFTY,19700.0,200
97.5,2023-11-24 12:29:00,NFO,2023-12-14,97.5,97.4,97.4,92100,Options,Put,NIFTY,19700.0,600
97.5,2023-11-24 12:30:00,NFO,2023-12-14,97.5,97.5,97.5,92100,Options,Put,NIFTY,19700.0,150
97.75,2023-11-24 12:31:00,NFO,2023-12-14,98.25,97.5,97.5,92100,Options,Put,NIFTY,19700.0,850
97.75,2023-11-24 12:32:00,NFO,2023-12-14,97.75,97.75,97.75,92100,Options,Put,NIFTY,19700.0,0
97.75,2023-11-24 12:33:00,NFO,2023-12-14,97.75,97.75,97.75,92100,Options,Put,NIFTY,19700.0,0
97.3,2023-11-24 12:34:00,NFO,2023-12-14,97.75,97.3,97.75,92750,Options,Put,NIFTY,19700.0,300
97.3,2023-11-24 12:35:00,NFO,2023-12-14,97.3,97.3,97.3,92750,Options,Put,NIFTY,19700.0,0
96.9,2023-11-24 12:36:00,NFO,2023-12-14,97.3,96.9,97.3,92750,Options,Put,NIFTY,19700.0,150
96.9,2023-11-24 12:37:00,NFO,2023-12-14,96.9,96.9,96.9,92750,Options,Put,NIFTY,19700.0,0
96.9,2023-11-24 12:38:00,NFO,2023-12-14,96.9,96.9,96.9,92750,Options,Put,NIFTY,19700.0,0
98.75,2023-11-24 12:39:00,NFO,2023-12-14,98.75,96.9,96.9,92750,Options,Put,NIFTY,19700.0,300
99.7,2023-11-24 12:40:00,NFO,2023-12-14,99.7,98.75,98.75,92750,Options,Put,NIFTY,19700.0,600
98.5,2023-11-24 12:41:00,NFO,2023-12-14,99.7,98.5,99.7,92750,Options,Put,NIFTY,19700.0,50
97.8,2023-11-24 12:42:00,NFO,2023-12-14,98.5,97.8,98.5,93250,Options,Put,NIFTY,19700.0,150
97.8,2023-11-24 12:43:00,NFO,2023-12-14,97.8,97.8,97.8,93250,Options,Put,NIFTY,19700.0,0
97.8,2023-11-24 12:44:00,NFO,2023-12-14,97.8,97.8,97.8,93250,Options,Put,NIFTY,19700.0,100
97.8,2023-11-24 12:45:00,NFO,2023-12-14,97.8,97.8,97.8,93250,Options,Put,NIFTY,19700.0,0
98.2,2023-11-24 12:46:00,NFO,2023-12-14,98.2,97.8,97.8,93150,Options,Put,NIFTY,19700.0,100
98.15,2023-11-24 12:47:00,NFO,2023-12-14,98.55,98.15,98.2,93150,Options,Put,NIFTY,19700.0,1300
